"","state","zip_code","kw_potential_for_median_house","yearly_solar_kwh_produced","estimated_avg_carbon_offset","estimated_percent_of_houses_qualified","num_customers","average_installation_cost","avg_house_price","average_monthly_consumption","price_per_kwh","impact","economical","savings","naive_model"
"1","California",92173,11.25,16947.70529,26310.64909,98.3985921179294,15,11278,793600,542,0.23,1,0.942234001044413,0.909963474103645,1
"2","California",95131,12.5,17981.05989,105944.2264,98.5655355440704,6383,11278,793600,542,0.23,0.00944660910864886,1,1,0.704525765350219
"3","California",94925,13,17970.86539,20139.8344,89.3472024110722,2922,11278,793600,542,0.23,0.0043275620761485,0.999430112880561,0.999111749864712,0.70221975942162
"4","California",92401,11.75,17917.96202,7254.501112,85.215302669184,443,11278,793600,542,0.23,0.0107803985216635,0.996472738890871,0.994502261850617,0.701829174419012
"5","California",95758,12.75,17960.04595,123379.4049,99.7785746656509,18909,11278,793600,542,0.23,0.00366847357312313,0.998825290721992,0.998169048501846,0.701446106109152
"6","California",93022,12,17951.66071,14158.78707,91.0864908516749,2400,11278,793600,542,0.23,0.00363336826963502,0.998356543822251,0.997438439784947,0.701013295642527
"7","California",91737,11.5,17943.70939,41876.18059,96.5727522313263,7060,11278,793600,542,0.23,0.00344553238064561,0.997912053670647,0.996745638660251,0.700548696968404
"8","California",90210,11.75,17926.85154,51148.54148,76.4346090132091,6883,11278,793600,542,0.23,0.00545398598405219,0.996969675763301,0.995276808649641,0.70040748854295
"9","California",95050,12.25,17905.70364,91861.14732,95.9117375405554,8728,11278,793600,542,0.23,0.00615593393395001,0.995787477929844,0.993434185172662,0.699593073208536
"10","California",92505,11.5,17898.04554,75365.54424,94.543736298642,11343,11278,793600,542,0.23,0.00394240037627126,0.995359379195294,0.992766932402929,0.69843295540786
"11","California",94061,12.75,17884.30962,56282.39577,95.4031546430922,8902,11278,793600,542,0.23,0.00371766995471504,0.994591521636646,0.9915701171792,0.697665335625916
"12","California",94002,12.75,17881.3452,49521.09573,95.0432945981888,7122,11278,793600,542,0.23,0.00410407581695537,0.994425806322054,0.991311826290383,0.697652152688375
"13","California",92602,12.25,17864.98457,40601.17875,98.6659608934494,5273,11278,793600,542,0.23,0.00437786235339144,0.993511223723309,0.989886319221777,0.696927692636462
"14","California",95628,13,17849.13921,80690.93271,91.4396516552571,13781,11278,793600,542,0.23,0.00359217942639288,0.992625445453961,0.988505707797609,0.695857615039413
"15","California",91304,11.5,17826.56067,79396.30397,93.4980740220965,9757,11278,793600,542,0.23,0.00488236110514559,0.991363272799909,0.98653843218727,0.695177694871705
"16","California",92313,11.25,17802.38018,22622.94227,93.549155746569,3616,11278,793600,542,0.23,0.00375171097973214,0.990011548851435,0.984431578146971,0.693568680014153
